ID,Area,Feature,User Story,Expected Behavior,Source Evidence,Test Method,Feature Status,Latest Test Result,Issue ID,Fix Status,Retest Result,Notes
START-001,Start,Cold start without saved data,"As a planner, I want the app to open to a clear start screen when no saved roadmap exists, so I can begin intentionally.","When local storage has no valid roadmap, the start screen is visible, Resume is hidden, Start from a blank outline is primary, and privacy text is visible.",index.html:154-176; index.html:750-767,Browser,Passed,"No saved data shows the start screen, hides Resume, and shows the local-only privacy note.",,,,
START-002,Start,Automatic restore on launch,"As a returning planner, I want the app to reopen my last saved work automatically, so I do not lose progress.","When valid autosave exists, init deserializes it, enters the studio, and shows a restore toast with Start fresh.",index.html:742-767,Browser,Passed,Saved state auto-restores into studio and shows restore toast.,,,,
START-003,Start,Resume last session from start screen,"As a returning planner on the start screen, I want to resume the last session, so I can continue where I left off.","When autosave exists and the user is on the start screen, Resume last session appears with relative save time and loads the saved roadmap.",index.html:750-753,Browser,Passed,Resume last session reloads saved roadmap data.,,,,
START-004,Start,Start blank outline,"As a planner, I want to start from a blank outline, so I can build a new roadmap from scratch.","Clicking Start from a blank outline creates one pillar, one workstream, no initiatives, file name Untitled roadmap, and opens the Structure tab.",index.html:326-329,Browser,Passed,"Blank start creates one pillar/workstream and opens Structure with tabs ordered Structure, Initiatives, Roadmap.",,,,
START-005,Start,Return to start screen from brand,"As a planner, I want the Roadmap Studio brand control to return me to the start screen without deleting my session, so I can choose a different starting action.",Clicking Roadmap Studio in the toolbar renders the start screen while keeping autosaved session data available.,index.html:183; index.html:754,Browser,Passed,Brand returns to start screen while leaving the saved session resumable.,,,,
PROJECT-001,Project files,Download project JSON,"As a planner, I want to save a project file, so I can reopen it later on another machine.",Clicking Save downloads a JSON project file using the current file name or roadmap fallback and serialized state.,index.html:727-729; index.html:755,Browser download,Passed,Save downloads a JSON project file with serialized roadmap state.,,,,
PROJECT-002,Project files,Open valid project JSON,"As a planner, I want to open a Roadmap Studio project file, so I can continue a saved roadmap.","Selecting a valid project JSON deserializes structure, items, dates, value type, value, sequence, file name, and fiscal year, then enters the studio.",index.html:730-741; index.html:756-760,Browser upload,Passed,Opening a valid project JSON restores the roadmap.,,,,
PROJECT-003,Project files,Reject invalid project JSON,"As a planner, I want invalid project files rejected, so bad data does not corrupt my roadmap.",Selecting an invalid or wrong-shaped JSON shows the invalid Roadmap Studio project file error on the start screen.,index.html:756-760,Browser upload,Passed,Invalid project JSON is rejected with a visible error.,,,,
NAV-001,Navigation,Tab order and switching,"As a planner, I want to switch between Structure, Initiatives, and Roadmap in the expected order, so the workflow matches how data is entered.","Toolbar tabs appear as Structure, Initiatives, Roadmap. Clicking each tab marks it active and displays only that stage.",index.html:185-189; index.html:387-398,Browser,Passed,"Blank start creates one pillar/workstream and opens Structure with tabs ordered Structure, Initiatives, Roadmap.",,,,
FY-001,Fiscal year,Fiscal year selector,"As a planner, I want to set the fiscal year start month, so roadmap quarters and imported quarter labels match my organization.","The fiscal year selector lists all months, defaults to July, updates S.fyStart, rerenders the roadmap, and affects fiscal year/quarter calculations.",index.html:193; index.html:255-299; index.html:380-383,Browser,Passed,Fiscal year selector updates the selected month and rerenders quarter/FY labels.,,,,
UNDO-001,Undo redo,Toolbar undo and redo,"As an editor, I want undo and redo controls, so I can recover from changes safely.","Undo is disabled with no history, becomes enabled after tracked edits, restores the previous snapshot, and redo reapplies it.",index.html:404-429,Browser,Passed,Toolbar undo and redo restore and reapply a pillar rename.,,,,
UNDO-002,Undo redo,Keyboard shortcuts,"As an editor, I want keyboard shortcuts for undo and redo, so editing feels standard.",Cmd/Ctrl+Z runs undo and Shift+Cmd/Ctrl+Z runs redo.,index.html:430-432,Browser keyboard,Passed,Keyboard undo and redo work on editable structure changes.,,,,
STRUCT-001,Structure,Structure metadata,"As a planner, I want summary counts for the outline, so I can check scope quickly.",Structure metadata shows pillar and workstream counts with correct singular/plural wording.,index.html:403-407,Browser,Passed,"Blank start creates one pillar/workstream and opens Structure with tabs ordered Structure, Initiatives, Roadmap.",,,,
STRUCT-002,Structure,Edit pillar name,"As a planner, I want to rename pillars inline, so the roadmap structure matches my business categories.","Changing a pillar input pushes undo, updates the pillar name, and rerenders dependent views.",index.html:438-471,Browser,Passed,Pillar name edits persist after change events.,,,,
STRUCT-003,Structure,Add pillar,"As a planner, I want to add pillars, so I can create additional strategic categories.","Clicking Add pillar appends a blank pillar with one New workstream, rerenders, focuses and selects the new pillar name.",index.html:507-510,Browser,Passed,Add pillar appends a pillar and focuses the new name input.,,,,
STRUCT-004,Structure,Move pillars,"As a planner, I want to reorder pillars, so the roadmap appears in the right executive order.","Pillar up/down buttons swap adjacent pillars, are disabled at boundaries, and preserve initiatives assigned to those pillars.",index.html:446-448; index.html:490-496,Browser,Passed,Pillar up/down controls reorder adjacent pillars.,,Fixed,Passed after adding data-p to pillar move/delete controls.,Initial full run found pillar move controls lacked the pillar id needed by the shared structure action handler.
STRUCT-005,Structure,Delete pillar,"As a planner, I want to delete a pillar, so outdated categories and their initiatives are removed.","Deleting a pillar removes its workstreams and initiatives; if no pillars remain, the app creates a fallback New pillar and New workstream.",index.html:448; index.html:494-497,Browser,Passed,Deleting a pillar removes it and leaves a valid remaining outline.,,Fixed,Passed after adding data-p to pillar move/delete controls.,Initial full run found pillar delete controls lacked the pillar id needed by the shared structure action handler.
STRUCT-006,Structure,Edit workstream name,"As a planner, I want to rename workstreams inline, so initiative lanes match team language.","Changing a workstream input pushes undo, updates the workstream name, and rerenders dependent views.",index.html:453-475,Browser,Passed,Workstream name edits persist after change events.,,,,
STRUCT-007,Structure,Add workstream by button,"As a planner, I want to add a workstream to a pillar, so I can expand the roadmap structure.","Clicking Add workstream appends a blank workstream to that pillar, rerenders, and focuses the new workstream input.",index.html:463; index.html:504-506,Browser,Passed,Add workstream appends a focused blank workstream.,,,,
STRUCT-008,Structure,Add workstream by Enter,"As a keyboard user, I want Enter in a workstream to add another below it, so outline entry is fast.","Pressing Enter in a workstream commits the current value, inserts a blank workstream immediately below, rerenders, and focuses it.",index.html:475-480,Browser keyboard,Passed,Enter in a workstream adds a new workstream below and focuses it.,,,,
STRUCT-009,Structure,Remove empty workstream by Backspace,"As a keyboard user, I want Backspace on an empty workstream to remove it, so cleanup is fast.","Pressing Backspace in an empty workstream removes it when the pillar has more than one workstream, deletes initiatives in that workstream, rerenders, and moves focus to the previous workstream.",index.html:481-488,Browser keyboard,Passed,Backspace on an empty workstream removes it when another workstream remains.,,,,
STRUCT-010,Structure,Move workstreams,"As a planner, I want to reorder workstreams inside a pillar, so lanes are presented in the desired order.",Workstream up/down buttons swap adjacent workstreams and are disabled at boundaries.,index.html:458-460; index.html:497-499,Browser,Passed,Workstream up/down controls reorder adjacent workstreams.,,,,
STRUCT-011,Structure,Delete workstream,"As a planner, I want to delete a workstream, so outdated lanes and their initiatives are removed.","Deleting a workstream removes its initiatives; if the pillar would have no workstreams, the app adds a New workstream fallback.",index.html:460; index.html:499-502,Browser,Passed,Deleting a workstream removes it and leaves a valid fallback lane when needed.,,,,
STRUCT-012,Structure,Workstream initiative counts,"As a planner, I want each workstream to show its initiative count, so I can see which lanes have work.",Workstream rows show empty tick/no count when no initiatives exist and a filled tick plus singular/plural item count when initiatives are assigned.,index.html:451-457,Browser,Passed,Structure workstreams show initiative counts for populated lanes.,,,,
INIT-001,Initiatives,Empty initiatives state,"As a planner, I want a clear empty state, so I know how to start adding initiatives.","When there are no initiatives, the Initiatives tab shows the empty note and an Add initiative button.",index.html:627-632,Browser,Passed,Initiatives tab shows empty state and Add initiative.,,,,
INIT-002,Initiatives,Add initiative,"As a planner, I want to add an initiative, so I can enter dated work under a workstream.","Add initiative creates a row assigned to the first pillar and first workstream, named New initiative, starting today, ending 90 days later, Savings, blank value, Not Started, and focuses the name input.",index.html:675-682,Browser,Passed,Add initiative creates the expected default row and values.,,,,
INIT-003,Initiatives,Edit initiative name,"As a planner, I want to rename initiatives inline, so each bar has the correct work name.","Changing the initiative name pushes undo, updates S.items, and rerenders the grid and roadmap label.",index.html:636; index.html:656-666,Browser,Passed,Initiative name edit persisted.,,,,
INIT-004,Initiatives,Change initiative pillar,"As a planner, I want to move an initiative to another pillar, so ownership structure can change.",Changing Pillar updates pillarId and automatically sets wsId to the first workstream in the selected pillar.,index.html:637; index.html:662-664,Browser,Passed,Changing pillar reassigns the initiative to the first workstream in that pillar.,,,,
INIT-005,Initiatives,Change initiative workstream,"As a planner, I want to assign an initiative to a workstream, so it appears in the correct roadmap lane.",Changing Workstream updates wsId and rerenders the grid and roadmap lane.,index.html:638; index.html:656-666,Browser,Passed,Changing workstream updates the selected workstream.,,,,
INIT-006,Initiatives,Edit start and end dates,"As a planner, I want to edit initiative dates, so the timeline reflects real timing.","Start and End date inputs parse to UTC dates; if end becomes before start, the changed date clamps the other date to preserve a non-negative range.",index.html:639-640; index.html:657-661,Browser,Passed,Date edits clamp start/end to prevent negative duration.,,,,
INIT-007,Initiatives,Milestone toggle,"As a planner, I want to mark one-day milestones, so gates render differently from duration work.","Checking Milestone sets end equal to start, disables/fades the End input, and renders the roadmap item as a diamond.",index.html:640-641; index.html:660-662; index.html:571-574,Browser,Passed,Milestone toggle sets a one-day item and disables End.,,,,
INIT-008,Initiatives,Status selection,"As a planner, I want to track initiative status, so roadmap visuals show health.","Status supports Not Started, On Track, At Risk, Complete. At Risk adds a risk border, Complete fades the item, and Not Started renders black on the roadmap.",index.html:241; index.html:323; index.html:653,Browser,Passed,Status selection persisted.,,,,
INIT-009,Initiatives,Savings or avoidance selection,"As a planner, I want to classify each initiative as Savings or Avoidance, so roadmap color and totals communicate impact type.","Savings/Avoidance select normalizes to one of two values. Savings uses green and Avoidance uses blue in roadmap bars, milestones, totals, and tooltips.",index.html:243; index.html:285-288; index.html:317; index.html:643; index.html:598,Browser,Passed,Savings/Avoidance selection persisted.,,,,
INIT-010,Initiatives,Dollar value entry,"As a planner, I want to enter a dollar value for each savings or avoidance initiative, so financial impact appears on the roadmap.","The value input accepts numeric currency-like text, stores parsed money, formats as USD in the grid, shortens values on roadmap labels and totals, and includes full money in tooltip.",index.html:274-284; index.html:318; index.html:412-417; index.html:644; index.html:598,Browser,Passed,Dollar value parses and formats as USD.,,,,
INIT-014,Initiatives,Realized percentage entry,"As a planner, I want to enter the percentage of each initiative's value that has been realized, so realized savings can be tracked from the same grid.","The Initiatives grid includes a % Realized column after $ Value. The field accepts percentage-like input, stores a clamped 0-100 percentage, formats it with a percent sign, and persists through save/open/autosave.",index.html:285-292; index.html:663; index.html:681; index.html:711-716; index.html:754-760,Browser,Passed,"Realized percentage accepts fractional entry, stores percent points, and formats with a percent sign.",,,,
INIT-011,Initiatives,Owner entry and suggestions,"As a planner, I want owner values remembered as suggestions, so repeated ownership entry is faster.",Owner input uses a datalist populated from unique non-empty owner values; changing an owner refreshes suggestions.,index.html:233; index.html:386; index.html:645; index.html:665,Browser,Passed,Owner entry refreshes datalist suggestions.,,,,
INIT-012,Initiatives,Move initiative rows,"As a planner, I want to reorder initiative rows, so the grid can match my preferred sequence.",Row up/down controls swap adjacent initiatives and preserve row data.,index.html:646-649; index.html:667-672,Browser,Passed,Initiative row up/down control reorders rows.,,,,
INIT-013,Initiatives,Delete initiative row,"As a planner, I want to delete an initiative, so removed work disappears from the grid and roadmap.","Row delete removes the initiative from S.items and rerenders the grid, metadata, totals, and roadmap.",index.html:646-649; index.html:667-672,Browser,Passed,Initiative row delete removes the row.,,,,
ROAD-001,Roadmap,Roadmap empty structure fallback,"As a planner, I want a useful roadmap message when no structure exists, so I know what to do next.","If structure is empty, the timeline area displays Add a pillar in the Structure tab to begin.",index.html:519-522,Browser,Passed,Empty structure timeline fallback message renders.,,,,
ROAD-002,Roadmap,Roadmap metadata,"As a planner, I want counts for all initiatives and dated initiatives, so I know whether items are ready for the timeline.",Roadmap metadata shows total initiative count and count of initiatives with start dates.,index.html:408-409,Browser,Passed,"Roadmap renders counts, grouped realized financial totals, per-pillar totals, fiscal/quarter layout, today marker, lanes, item labels, and money labels.",,,,
ROAD-003,Roadmap,Savings and avoidance totals,"As a planner, I want savings and avoidance totals above the roadmap, so I can see total financial impact by type.",Roadmap legend totals sum all numeric item values by normalized Savings or Avoidance type and show short currency values.,index.html:210-213; index.html:412-417,Browser,Passed,"Roadmap renders counts, grouped realized financial totals, per-pillar totals, fiscal/quarter layout, today marker, lanes, item labels, and money labels.",,,,
ROAD-012,Roadmap,Realized Savings total,"As a planner, I want realized savings shown under the Savings total, so I can compare planned savings against savings already realized without cluttering the header.","The roadmap header shows Realized under the Savings total. It sums Savings initiatives only as $ Value multiplied by % Realized, ignores Avoidance for this metric, and shows the result as short currency.",index.html:211; index.html:285-292; index.html:420-426,Browser,Passed,Realized financial totals sum their own value types precisely and ignore the other value type.,,,,
ROAD-013,Roadmap,Realized Avoidance total,"As a planner, I want realized avoidance shown under the Avoidance total, so I can compare planned avoidance against avoidance already realized without cluttering the header.","The roadmap header shows Realized under the Avoidance total. It sums Avoidance initiatives only as $ Value multiplied by % Realized, ignores Savings for this metric, and shows the result as short currency.",index.html:213; index.html:296-299; index.html:435-441,Browser,Passed,Realized financial totals sum their own value types precisely and ignore the other value type.,,,,
ROAD-014,Roadmap,Per-pillar financial rollups,"As a presenter, I want each expanded roadmap pillar to show its own Savings, Avoidance, and Realized totals, so I can showcase one pillar at a time with its financial impact visible.","Each expanded roadmap pillar header shows Savings, Avoidance, and Realized totals for initiatives inside that pillar only. Collapsed pillars keep the title visible but hide the per-pillar totals.",index.html:299-306; index.html:595-600,Browser,Passed,"Roadmap renders counts, grouped realized financial totals, per-pillar totals, fiscal/quarter layout, today marker, lanes, item labels, and money labels.",,,,
ROAD-004,Roadmap,Timeline lanes and labels,"As a planner, I want the roadmap to render pillars, workstreams, quarters, fiscal years, and bars, so the plan is presentation-ready.","Roadmap SVG renders FY bands, quarter labels, pillar bands, workstream labels, rows, bars, milestones, and today marker using current structure, dates, fiscal year start, status, and value type.",index.html:519-592,Browser visual,Passed,"Roadmap renders counts, grouped realized financial totals, per-pillar totals, fiscal/quarter layout, today marker, lanes, item labels, and money labels.",,,,
ROAD-005,Roadmap,Roadmap item money labels,"As a planner, I want initiative bars to show dollar amounts when present, so the impact is visible without hovering.",Roadmap labels include item name only when value is zero/blank and item name plus short money when value is non-zero.,index.html:278-284; index.html:318; index.html:571,Browser visual,Passed,"Roadmap renders counts, grouped realized financial totals, per-pillar totals, fiscal/quarter layout, today marker, lanes, item labels, and money labels.",,,,
ROAD-006,Roadmap,Roadmap tooltip,"As a planner, I want hover details on roadmap items, so I can inspect exact metadata without returning to the grid.","Hovering a bar or milestone shows name, pillar/workstream, date or range, Savings/Avoidance with full money, status, and owner.",index.html:593-602,Browser pointer,Passed,"Roadmap tooltip shows item metadata, full money, status, and owner.",,,,
ROAD-007,Roadmap,Drag roadmap item,"As a planner, I want to drag a roadmap item, so I can adjust timing visually.","Dragging a bar or milestone horizontally moves start and end together by rounded day offset, pushes undo on pointer up, and does nothing in presentation mode.",index.html:603-624,Browser pointer,Passed,Dragging a roadmap item moves its dates.,,,,
ROAD-008,Roadmap,Resize roadmap item edges,"As a planner, I want to drag start and end edges, so I can adjust initiative duration visually.",Dragging the start edge changes start without passing end; dragging the end edge changes end without passing start; pointer up records the change for undo.,index.html:579; index.html:603-624,Browser pointer,Passed,Dragging an end edge changes the item end date.,,,,
ROAD-009,Roadmap,Responsive roadmap sizing,"As a viewer, I want the roadmap to rerender on resize, so the timeline remains usable at different viewport widths.","When the window resizes in Roadmap or presentation view, renderTimeline runs and recalculates timeline width and scale.",index.html:719-723,Browser resize,Passed,Roadmap rerenders with different SVG width after viewport resize.,,,,
ROAD-010,Roadmap,Collapse and expand pillar sections,"As a presenter, I want to collapse or expand each roadmap pillar section, so I can showcase one pillar at a time.","Each roadmap pillar band has a plus/minus toggle. Clicking it hides or shows that pillar's workstream lanes and initiatives while keeping the pillar header visible, and the collapsed state persists in saved/autosaved state.",index.html:303-309; index.html:527-592; index.html:732-736,Browser,Passed,"Roadmap pillar bands collapse, persist collapsed state, and expand back to show hidden lanes.",,,,
ROAD-011,Roadmap,Not Started black styling,"As a presenter, I want Not Started initiatives to render black on the roadmap, so they are visually distinct from Savings and Avoidance items.",Roadmap items with status Not Started render with black fill and white text instead of green/blue value-type fill with only an outline. The roadmap legend includes Not Started.,index.html:210-215; index.html:308-318; index.html:571-579,Browser visual,Passed,Not Started roadmap items render black and the legend includes Not Started.,,,,
EXPORT-002,Export,Export PNG from roadmap,"As a planner, I want to export the current roadmap as a PNG, so I can paste it into decks or messages.","When a roadmap SVG exists, PNG creates a 2x canvas snapshot and downloads roadmap.png.",index.html:702-708,Browser download,Passed,PNG export downloads a non-empty roadmap.png.,,,,
EXPORT-003,Export,PNG guard outside roadmap,"As a planner, I want a clear message if PNG export is unavailable, so I know to open Roadmap first.","If no timeline SVG exists, clicking PNG alerts Open the Roadmap tab first.",index.html:702,Browser,Passed,PNG outside Roadmap shows the expected alert.,,,,
EXPORT-004,Export,Export PowerPoint roadmap,"As a presenter, I want to export the roadmap to PowerPoint, so each pillar can be reviewed as its own readable slide.","PowerPoint export downloads a .pptx deck with one slide per pillar. Each slide includes the pillar name, Savings, Avoidance, Realized totals, fiscal year labels, quarter markers, workstream labels, and initiative bars or milestones for that pillar only.",index.html:690-801; vendor/pptxgen.bundle.js,Browser download,Passed,"PowerPoint export downloads a deck with one human-readable slide per pillar, including fiscal years.",,,,
PRESENT-001,Presentation,Enter presentation mode,"As a presenter, I want a clean full-screen roadmap view, so I can present without editing chrome.","Clicking Present sets presenting true, adds presentation styling, switches to Roadmap if needed, requests fullscreen, hides toolbar and stage header, and fits the SVG.",index.html:135-147; index.html:710-723,Browser visual,Passed,Present mode hides editing chrome and shows presentation state.,,,,
PRESENT-002,Presentation,Toggle dark presentation theme,"As a presenter, I want a dark/light toggle, so the roadmap works in different presentation environments.","Dark toggles S.dark, the body dark class, the Dark/Light button label, and rerenders with the presentation dark palette.",index.html:228; index.html:308-316; index.html:714,Browser,Passed,Dark presentation toggle changes palette state and button label.,,,,
PRESENT-003,Presentation,Exit presentation mode,"As a presenter, I want to exit presentation cleanly, so I can return to editing.","Exit button, Escape, or leaving fullscreen clears presenting/dark classes, exits fullscreen when needed, resets transform/width, and rerenders the timeline.",index.html:713-718,Browser keyboard,Passed,Exit presentation clears presentation state.,,,,
PERSIST-001,Persistence,Autosave after changes,"As a planner, I want changes saved locally, so accidental refreshes do not lose my roadmap.","renderAll schedules autosave, autosave writes serialized state to localStorage key roadmapStudio.v1 after 400 ms, and loadAutosave returns only valid saved structures.",index.html:400-417; index.html:726-746,Browser storage,Passed,Autosave writes changed roadmap state to localStorage after edits.,,,,
PERSIST-002,Persistence,Start fresh after restore toast,"As a planner, I want to intentionally start fresh after auto-restore, so restored work does not trap me in the previous session.",The restore toast includes Start fresh; clicking it hides the toast and renders the start screen while leaving saved data available.,index.html:762-764,Browser,Passed,Start fresh from restore toast returns to start while keeping saved data available.,,,,
PRIVACY-001,Privacy,Local-only privacy statement,"As a planner with sensitive data, I want clear local-only messaging, so I know the app does not upload my roadmap.",The start screen states Everything stays in this browser. Nothing is uploaded anywhere.,index.html:173-177,Static review,Passed,Local-only privacy statement is present.,,,,
SECURITY-001,Security,No remote runtime dependency,"As a planner with sensitive data, I want the app to avoid remote runtime scripts, so entered roadmap data is not exposed to CDN-hosted code.","The app has no remote script URLs, no ExcelJS/CDN dependency, no Excel import/export controls, and loads the PowerPoint writer from the local vendor folder.",index.html:5-8; index.html:168-176; index.html:192-203; vendor/pptxgen.bundle.js,Browser/static review,Passed,External runtime URLs and Excel controls are absent; the local PowerPoint bundle loads.,,,,
SECURITY-002,Security,No-egress content security policy,"As a planner with sensitive data, I want browser-enforced network egress blocking, so the app cannot make fetch/XHR/WebSocket/beacon-style calls.","The app declares a meta Content-Security-Policy with default-src 'none', connect-src 'none', form-action 'none', object-src 'none', and no external origins.",index.html:5,Browser/static review,Passed,Meta CSP blocks connection APIs and external resource origins for the single-file app.,,,,
ACCESS-001,Accessibility,Basic semantic controls,"As a keyboard or assistive-tech user, I want controls with labels and visible focus, so the app is operable beyond pointer use.","The app has focus-visible styling, tablist/tab roles, aria labels on grid inputs, undo/redo buttons, and roadmap SVG role img with aria-label.",index.html:22; index.html:185-188; index.html:191-192; index.html:544; index.html:636-645,Browser keyboard/static review,Passed,"Basic labels, roles, and visible focus styling are present.",,,,
A11Y-002,Accessibility,Reduced motion preference,"As a motion-sensitive user, I want animations disabled when reduced motion is requested, so the app respects OS preferences.","When prefers-reduced-motion is reduce, all transitions and animations are disabled by CSS.",index.html:26,Static review,Passed,Reduced-motion CSS guard is present.,,,,
